id,name,cost_price,selling_price,qty
1,Notebook A5,20,40,120
2,Ballpoint Pen Blue,5,10,300
3,Stapler Small,35,60,80
4,Marker Black,12,25,150
5,Highlighter Yellow,10,20,200
6,Desk Organizer,50,90,40
7,Pencil HB,3,7,500
8,Eraser Soft,4,8,250
9,Glue Stick,8,15,180
10,Scissors Medium,30,55,60
11,Cotton T-Shirt White,120,200,90
12,Jeans Slim Fit,450,700,50
13,Hoodie Navy,600,900,30
14,Socks Pack 3,60,120,110
15,Cap Black,80,150,70
16,Jacket Lightweight,900,1400,20
17,Formal Shirt Blue,300,500,40
18,Track Pants Grey,250,400,60
19,Shorts Sports,150,250,70
20,Belt Leather,200,350,35
21,USB Cable Type-C,40,80,150
22,Wireless Mouse,200,350,40
23,Laptop Stand,300,600,25
24,Keyboard Wired,180,300,35
25,HDMI Cable,50,100,140
26,Phone Case Black,30,70,90
27,Power Bank 10k,800,1200,20
28,Bluetooth Speaker,900,1500,15
29,USB Flash Drive 32GB,250,400,50
30,Monitor 24inch,6000,9000,10
31,Apples 1kg,80,150,60
32,Bananas Dozen,40,80,70
33,Oranges 1kg,70,120,55
34,Mango Juice 1L,60,110,90
35,Bread Whole Wheat,30,50,40
36,Milk 1L,25,45,100
37,Cookies Choco,40,70,110
38,Noodles Pack,12,25,200
39,Rice 5kg,200,350,30
40,Eggs Pack 12,60,100,50
41,Dumbbell 5kg,300,600,20
42,Yoga Mat,250,500,35
43,Treadmill Lubricant,150,250,40
44,Skipping Rope,40,90,70
45,Resistance Band Set,200,350,30
46,Football Size-5,300,500,20
47,Cricket Bat,900,1400,10
48,Water Bottle Gym,80,150,90
49,Protein Shaker,60,120,75
50,Kettlebell 10kg,600,1000,15
51,Whiteboard 2x3ft,300,600,20
52,Push Pins Pack,10,25,200
53,File Folder A4,15,35,180
54,Calculator Basic,120,200,40
55,Paper Ream A4,220,350,30
56,Binder Clips Pack,20,40,160
57,Sticky Notes 3x3,25,50,140
58,Correction Tape,15,30,110
59,Envelope Pack 25,30,60,100
60,Desk Lamp LED,400,700,25
61,Running Shoes,900,1500,25
62,Sports Jacket,700,1200,15
63,Gym Gloves,150,250,40
64,Sports Bag,350,600,30
65,Training Cones Set,250,450,20
66,Cricket Stumps Set,500,900,10
67,Badminton Racket,250,450,35
68,Tennis Balls Pack,120,200,50
69,Headband Sweat,40,90,80
70,Knee Support,150,300,30
71,Tomatoes 1kg,30,60,80
72,Potatoes 1kg,25,50,100
73,Onions 1kg,20,40,110
74,Sugar 1kg,35,60,90
75,Atta 5kg,160,250,40
76,Oil 1L,90,150,60
77,Tea Pack 250g,60,110,80
78,Coffee 200g,150,250,40
79,Butter 200g,40,80,50
80,Paneer 200g,60,120,40
81,USB Hub 4-Port,150,300,40
82,Printer Paper 500sheets,200,320,25
83,Surge Protector,180,350,30
84,Webcam 720p,500,900,20
85,SSD 256GB,1500,2500,15
86,Mouse Pad Large,60,120,50
87,Headphones Wired,250,400,25
88,Router WiFi DualBand,1200,2000,10
89,Microphone USB,900,1500,12
90,Laptop Backpack,600,1000,20
91,T-Shirt Graphic,150,300,60
92,Formal Trousers,400,700,30
93,Sweatshirt Grey,500,900,20
94,Sneakers Casual,1000,1600,15
95,Leather Wallet,150,300,40
96,Cap White,80,140,50
97,Scarf Wool,120,250,30
98,Gloves Winter,100,200,35
99,Shorts Denim,200,400,45
100,Shirt Casual Red,250,450,40
